RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
19822,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.2699,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63468,-0.368686,52.0102,63.9255,-0.779252,-0.00778874,-4.6469,-0.0467369,40,0,0,0,0
19823,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.268029,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63403,-0.435949,52.1518,65.7138,-0.797278,-0.0079476,-4.64745,-0.0469529,40,0,0,0,0
19824,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.267965,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.6341,-0.434199,52.0764,65.7157,-0.808196,-0.00827474,-4.64704,-0.0471986,40,0,0,0,0

19826,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.266197,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63286,-0.509238,52.1789,67.5112,-0.829539,-0.0085894,-4.64646,-0.0464217,40,0,0,0,0
19827,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.26599,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63262,-0.509967,52.0811,67.5094,-0.811312,-0.00839943,-4.64678,-0.0463821,40,0,0,0,0
19828,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.263402,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63192,-0.595008,52.1516,69.2987,-0.867334,-0.00914051,-4.64712,-0.046863,40,0,0,0,0
19829,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.264806,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63112,-0.595349,52.4091,69.2964,-0.859568,-0.00908716,-4.64707,-0.0466751,40,0,0,0,0
19830,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.257781,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63031,-0.699239,52.4312,71.1006,-0.892644,-0.00962753,-4.64728,-0.0470938,40,0,0,0,0
19831,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.258591,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63014,-0.699146,52.4329,71.1084,-0.891909,-0.00968112,-4.64741,-0.0468571,40,0,0,0,0
